Nazwa dewelopera;Forma prawna dewelopera;Nr KRS;Nr wpisu do CEiDG;Nr NIP;Nr REGON;Nr telefonu;Adres poczty elektronicznej;Nr faxu;Adres strony internetowej dewelopera;Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Województwo adresu lokalu, w którym prowadzona jest sprzedaż;Powiat adresu lokalu, w którym prowadzona jest sprzedaż;Gmina adresu lokalu, w którym prowadzona jest sprzedaż;Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż;Ulica adresu lokalu, w którym prowadzona jest sprzedaż;Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż;Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż;Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż;Dodatkowe lokalizacje, w których prowadzona jest sprzedaż;Sposób kontaktu nabywcy z deweloperem;Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny;Nr lokalu lub domu jednorodzinnego nadany przez dewelopera;Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł];Data od której cena obowiązuje cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego;Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł];Data od której cena obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni;Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł];Data od której obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3);Rodzaj części nieruchomości będących przedmiotem umowy;Oznaczenie części nieruchomości nadane przez dewelopera;Cena części nieruchomości, będących przedmiotem umowy [zł];Data od której obowiązuje cena części nieruchomości, będących przedmiotem umowy;Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Oznaczenie pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł];Data od której obowiązuje cena wyszczególnionych pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł];Data od której obowiązuje cena wartości praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł];Data od której obowiązuje cena wartości innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Adres strony internetowej, pod którym dostępny jest prospekt informacyjny
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"15";"7500";"2025-09-11 00:00";"304650";"2025-09-11 00:00";"304650";"2025-09-11 00:00";"mieszkanie";"15";"304650";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"16";"7500";"2025-09-11 00:00";"253500";"2025-09-11 00:00";"253500";"2025-09-11 00:00";"mieszkanie";"16";"253500";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"17";"7500";"2025-09-11 00:00";"301500";"2025-09-11 00:00";"301500";"2025-09-11 00:00";"mieszkanie";"17";"301500";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"19";"7400";"2025-09-11 00:00";"446886";"2025-09-11 00:00";"446886";"2025-09-11 00:00";"mieszkanie";"19";"446886";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"23";"7600";"2025-09-11 00:00";"390184";"2025-09-11 00:00";"390184";"2025-09-11 00:00";"mieszkanie";"23";"390184";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A05";"7500";"2025-09-11 00:00";"295500";"2025-09-11 00:00";"295500";"2025-09-11 00:00";"mieszkanie";"A05";"295500";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A06";"7600";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"mieszkanie";"A06";"403560";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A14";"7600";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"mieszkanie";"A14";"403560";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A23";"7600";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"mieszkanie";"A23";"403560";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A32";"7600";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"mieszkanie";"A32";"403560";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A40";"7500";"2025-09-11 00:00";"295500";"2025-09-11 00:00";"295500";"2025-09-11 00:00";"mieszkanie";"A40";"295500";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"A41";"7600";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"403560";"2025-09-11 00:00";"mieszkanie";"A41";"403560";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"G11";"2800";"2025-09-11 00:00";"35000";"2025-09-11 00:00";"35000";"2025-09-11 00:00";"miejsce postojowe";"G11";"35000";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"G17";"2000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"miejsce postojowe";"G17";"25000";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"G18";"2000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"miejsce postojowe";"G18";"25000";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"G19";"2000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"25000";"2025-09-11 00:00";"miejsce postojowe";"G19";"25000";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"białogardzki";"Białogard";"Białogard";"Lipowa ";"18";"78-200";"lokal mieszkalny";"G8";"2800";"2025-09-11 00:00";"35000";"2025-09-11 00:00";"35000";"2025-09-11 00:00";"miejsce postojowe";"G8";"35000";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"brak";"x";"x";"https://norbidom.pl/mieszkaniapodlipami/"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"1";"7290";"2025-06-02 00:00";"545073";"2025-06-02 00:00";"545073";"2025-06-02 00:00";"mieszkanie";"1";"545073";"2025-06-02 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"2";"7290";"2025-09-11 00:00";"301660";"2025-09-11 00:00";"301660";"2025-09-11 00:00";"mieszkanie";"2";"301660";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"3";"7290";"2025-09-11 00:00";"301660";"2025-09-11 00:00";"301660";"2025-09-11 00:00";"mieszkanie";"3";"301660";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"4";"7290";"2025-09-11 00:00";"328050";"2025-09-11 00:00";"328050";"2025-09-11 00:00";"mieszkanie";"4";"328050";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"6";"7589.99";"2025-09-11 00:00";"255479";"2025-09-11 00:00";"255479";"2025-09-11 00:00";"mieszkanie";"6";"255479";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
"NORBI-DOM SPÓŁKA Z OGANICZONĄ ODPOWIEDZIALNOŚCIA";"spółka z ograniczoną odpowiedzialnością";"0000719419";"x";"6722089550";"369533153";"+48509927169";"norbidom11@wp.pl";"x";"https://norbidom.pl/";"zachodniopomorskie";"świdwiński";"REDŁO";"Połczyn-Zdrój";"Redło ";"96";"x";"78-320";"zachodniopomorskie";"świdwińskświdwiński";"REDŁO";"REDŁO";"REDŁO";"96";"x";"78-320";"Białogard Lipowa 18
Połczyn-Zdrój Strażacka 5";"telefon
e-mail
strona internetowa";"zachodniopomorskie";"świdwiński";"Połczyn-Zdrój";"Połczyn-Zdrój";"Strażacka";"5";"78-320";"lokal mieszkalny";"8";"7290";"2025-09-11 00:00";"505707";"2025-09-11 00:00";"505707";"2025-09-11 00:00";"mieszkanie";"8";"505707";"2025-09-11 00:00";"x";"x";"x";"2025-09-11 00:00";"x";"0";"2025-09-11 00:00";"Brak";"x";"x";"https://www.norbidom.pl"
